Team,Year,OT Losses,GF,GA,Wins,Losses,Win_rate,Diff
368,Tampa Bay Lightning,2003,6,245,192,46,22,0.6764705882352942,53
369,Toronto Maple Leafs,2003,3,242,204,45,24,0.6521739130434783,38
370,Vancouver Canucks,2003,5,235,194,43,24,0.6417910447761194,41
371,Washington Capitals,2003,3,186,253,23,46,0.3333333333333333,-67
372,Mighty Ducks of Anaheim,2005,12,254,229,43,27,0.6142857142857143,25
373,Atlanta Thrashers,2005,8,281,275,41,33,0.5540540540540541,6
374,Boston Bruins,2005,16,230,266,29,37,0.4393939393939394,-36
375,Buffalo Sabres,2005,6,281,239,52,24,0.6842105263157895,42
376,Calgary Flames,2005,11,218,200,46,25,0.647887323943662,18
377,Carolina Hurricanes,2005,8,294,260,52,22,0.7027027027027027,34
378,Columbus Blue Jackets,2005,4,223,279,35,43,0.44871794871794873,-56
379,Chicago Blackhawks,2005,13,211,285,26,43,0.37681159420289856,-74
380,Colorado Avalanche,2005,9,283,257,43,30,0.589041095890411,26
381,Dallas Stars,2005,6,265,218,53,23,0.6973684210526315,47
382,Detroit Red Wings,2005,8,305,209,58,16,0.7837837837837838,96
383,Edmonton Oilers,2005,13,256,251,41,28,0.5942028985507246,5
384,Florida Panthers,2005,11,240,257,37,34,0.5211267605633803,-17
385,Los Angeles Kings,2005,5,249,270,42,35,0.5454545454545454,-21
386,Minnesota Wild,2005,8,231,215,38,36,0.5135135135135135,16
387,Montreal Canadiens,2005,9,243,247,42,31,0.5753424657534246,-4
388,Nashville Predators,2005,8,259,227,49,25,0.6621621621621622,32
389,New Jersey Devils,2005,9,242,229,46,27,0.6301369863013698,13
390,New York Islanders,2005,6,230,278,36,40,0.47368421052631576,-48
391,New York Rangers,2005,12,257,215,44,26,0.6285714285714286,42
392,Ottawa Senators,2005,9,314,211,52,21,0.7123287671232876,103
393,Philadelphia Flyers,2005,11,267,259,45,26,0.6338028169014085,8
394,Phoenix Coyotes,2005,5,246,271,38,39,0.4935064935064935,-25
395,Pittsburgh Penguins,2005,14,244,316,22,46,0.3235294117647059,-72
396,San Jose Sharks,2005,11,266,242,44,27,0.6197183098591549,24
397,St. Louis Blues,2005,15,197,292,21,46,0.31343283582089554,-95
398,Tampa Bay Lightning,2005,6,252,260,43,33,0.5657894736842105,-8
399,Toronto Maple Leafs,2005,8,257,270,41,33,0.5540540540540541,-13
400,Vancouver Canucks,2005,8,256,255,42,32,0.5675675675675675,1
401,Washington Capitals,2005,12,237,306,29,41,0.4142857142857143,-69
402,Anaheim Ducks,2006,14,258,208,48,20,0.7058823529411765,50
403,Atlanta Thrashers,2006,11,246,245,43,28,0.6056338028169014,1
404,Boston Bruins,2006,6,219,289,35,41,0.4605263157894737,-70
405,Buffalo Sabres,2006,7,308,242,53,22,0.7066666666666667,66
406,Calgary Flames,2006,10,258,226,43,29,0.5972222222222222,32
407,Carolina Hurricanes,2006,8,241,253,40,34,0.5405405405405406,-12
408,Columbus Blue Jackets,2006,7,201,249,33,42,0.44,-48
409,Chicago Blackhawks,2006,9,201,258,31,42,0.4246575342465753,-57
410,Colorado Avalanche,2006,7,272,251,44,31,0.5866666666666667,21
411,Dallas Stars,2006,7,226,197,50,25,0.6666666666666666,29
412,Detroit Red Wings,2006,13,254,199,50,19,0.7246376811594203,55
413,Edmonton Oilers,2006,7,195,248,32,43,0.4266666666666667,-53
414,Florida Panthers,2006,16,247,257,35,31,0.5303030303030303,-10
415,Los Angeles Kings,2006,14,227,283,27,41,0.39705882352941174,-56
416,Minnesota Wild,2006,8,235,191,48,26,0.6486486486486487,44
417,Montreal Canadiens,2006,6,245,256,42,34,0.5526315789473685,-11
418,Nashville Predators,2006,8,272,212,51,23,0.6891891891891891,60
419,New Jersey Devils,2006,9,216,201,49,24,0.6712328767123288,15
420,New York Islanders,2006,12,248,240,40,30,0.5714285714285714,8
421,New York Rangers,2006,10,242,216,42,30,0.5833333333333334,26
422,Ottawa Senators,2006,9,288,222,48,25,0.6575342465753424,66
423,Philadelphia Flyers,2006,12,214,303,22,48,0.3142857142857143,-89
424,Phoenix Coyotes,2006,5,216,284,31,46,0.4025974025974026,-68
425,Pittsburgh Penguins,2006,11,277,246,47,24,0.6619718309859155,31
426,San Jose Sharks,2006,5,258,199,51,26,0.6623376623376623,59
427,St. Louis Blues,2006,13,214,254,34,35,0.4927536231884058,-40
428,Tampa Bay Lightning,2006,5,253,261,44,33,0.5714285714285714,-8
429,Toronto Maple Leafs,2006,11,258,269,40,31,0.5633802816901409,-11
430,Vancouver Canucks,2006,7,222,201,49,26,0.6533333333333333,21
431,Washington Capitals,2006,14,235,286,28,40,0.4117647058823529,-51
432,Anaheim Ducks,2007,8,205,191,47,27,0.6351351351351351,14
433,Atlanta Thrashers,2007,8,216,272,34,40,0.4594594594594595,-56
434,Boston Bruins,2007,12,212,222,41,29,0.5857142857142857,-10
435,Buffalo Sabres,2007,12,255,242,39,31,0.5571428571428572,13
436,Calgary Flames,2007,10,229,227,42,30,0.5833333333333334,2
437,Carolina Hurricanes,2007,6,252,249,43,33,0.5657894736842105,3
438,Columbus Blue Jackets,2007,12,193,218,34,36,0.4857142857142857,-25
439,Chicago Blackhawks,2007,8,239,235,40,34,0.5405405405405406,4
440,Colorado Avalanche,2007,7,231,219,44,31,0.5866666666666667,12
441,Dallas Stars,2007,7,242,207,45,30,0.6,35
442,Detroit Red Wings,2007,7,257,184,54,21,0.72,73
443,Edmonton Oilers,2007,6,235,251,41,35,0.5394736842105263,-16
444,Florida Panthers,2007,9,216,226,38,35,0.5205479452054794,-10
445,Los Angeles Kings,2007,7,231,266,32,43,0.4266666666666667,-35
446,Minnesota Wild,2007,10,223,218,44,28,0.6111111111111112,5
447,Montreal Canadiens,2007,10,262,222,47,25,0.6527777777777778,40
448,Nashville Predators,2007,9,230,229,41,32,0.5616438356164384,1
449,New Jersey Devils,2007,7,206,197,46,29,0.6133333333333333,9
450,New York Islanders,2007,9,194,243,35,38,0.4794520547945205,-49
451,New York Rangers,2007,13,213,199,42,27,0.6086956521739131,14
452,Ottawa Senators,2007,8,261,247,43,31,0.581081081081081,14
453,Philadelphia Flyers,2007,11,248,233,42,29,0.5915492957746479,15
454,Phoenix Coyotes,2007,7,214,231,38,37,0.5066666666666667,-17
455,Pittsburgh Penguins,2007,8,247,216,47,27,0.6351351351351351,31
456,San Jose Sharks,2007,10,222,193,49,23,0.6805555555555556,29
457,St. Louis Blues,2007,13,205,237,33,36,0.4782608695652174,-32
458,Tampa Bay Lightning,2007,9,223,267,31,42,0.4246575342465753,-44
459,Toronto Maple Leafs,2007,11,231,260,36,35,0.5070422535211268,-29
460,Vancouver Canucks,2007,10,213,215,39,33,0.5416666666666666,-2
461,Washington Capitals,2007,8,242,231,43,31,0.581081081081081,11
462,Anaheim Ducks,2008,7,245,238,42,33,0.56,7
463,Atlanta Thrashers,2008,6,257,280,35,41,0.4605263157894737,-23
464,Boston Bruins,2008,10,274,196,53,19,0.7361111111111112,78
465,Buffalo Sabres,2008,9,250,234,41,32,0.5616438356164384,16
466,Calgary Flames,2008,6,254,248,46,30,0.6052631578947368,6
467,Carolina Hurricanes,2008,7,239,226,45,30,0.6,13
468,Columbus Blue Jackets,2008,10,226,230,41,31,0.5694444444444444,-4
469,Chicago Blackhawks,2008,12,264,216,46,24,0.6571428571428571,48
470,Colorado Avalanche,2008,5,199,257,32,45,0.4155844155844156,-58
471,Dallas Stars,2008,11,230,257,36,35,0.5070422535211268,-27
472,Detroit Red Wings,2008,10,295,244,51,21,0.7083333333333334,51
473,Edmonton Oilers,2008,9,234,248,38,35,0.5205479452054794,-14
474,Florida Panthers,2008,11,234,231,41,30,0.5774647887323944,3
475,Los Angeles Kings,2008,11,207,234,34,37,0.4788732394366197,-27
476,Minnesota Wild,2008,9,219,200,40,33,0.547945205479452,19
477,Montreal Canadiens,2008,11,249,247,41,30,0.5774647887323944,2
478,Nashville Predators,2008,8,213,233,40,34,0.5405405405405406,-20
479,New Jersey Devils,2008,4,244,209,51,27,0.6538461538461539,35
480,New York Islanders,2008,9,201,279,26,47,0.3561643835616438,-78
481,New York Rangers,2008,9,210,218,43,30,0.589041095890411,-8
482,Ottawa Senators,2008,11,217,237,36,35,0.5070422535211268,-20
483,Philadelphia Flyers,2008,11,264,238,44,27,0.6197183098591549,26
484,Phoenix Coyotes,2008,7,208,252,36,39,0.48,-44
485,Pittsburgh Penguins,2008,9,264,239,45,28,0.6164383561643836,25
486,San Jose Sharks,2008,11,257,204,53,18,0.7464788732394366,53
